Value,Row,Column
1248.295383,0,0
1248.055496,0,1
1247.742844,0,2
1247.296085,0,3
1246.913047,0,4
1246.784435,0,5
1246.836164,0,6
1246.97333,0,7
1247.041542,0,8
1246.927089,0,9
1246.709051,0,10
1246.478164,0,11
1246.2369,0,12
1245.975525,0,13
1245.731784,0,14
1245.542305,0,15
1245.402714,0,16
1245.301197,0,17
1245.208585,0,18
1245.109051,0,19
1245.105797,0,20
1245.294814,0,21
1245.592668,0,22
1245.904655,0,23
1246.173311,0,24
1246.371476,0,25
1246.447982,0,26
1246.403844,0,27
1246.225098,0,28
1245.921101,0,29
1245.419471,0,30
1244.670969,0,31
1243.884033,0,32
1243.288711,0,33
1242.952757,0,34
1242.920002,0,35
1243.045225,0,36
1243.178804,0,37
1243.270564,0,38
1243.279866,0,39
1243.249281,0,40
1243.202599,0,41
1243.107596,0,42
1242.920457,0,43
1242.697799,0,44
1242.502661,0,45
1242.372637,0,46
1242.355572,0,47
1242.450514,0,48
1242.662404,0,49
1243.000162,0,50
1243.436175,0,51
1243.862903,0,52
1244.141135,0,53
1244.199401,0,54
1243.978215,0,55
1243.574051,0,56
1243.076361,0,57
1242.558027,0,58
1242.071568,0,59
1241.657975,0,60
1241.343054,0,61
1241.127121,0,62
1240.991031,0,63
1240.895376,0,64
1240.78426,0,65
1240.611129,0,66
1240.342928,0,67
1239.991412,0,68
1239.594746,0,69
1239.202365,0,70
1238.86831,0,71
1238.624907,0,72
1238.49428,0,73
1238.478615,0,74
1238.566835,0,75
1238.726933,0,76
1238.917909,0,77
1239.08849,0,78
1239.200977,0,79
1239.249049,0,80
1239.231895,0,81
1239.120976,0,82
1238.87906,0,83
1238.467171,0,84
1237.825896,0,85
1236.811263,0,86
1235.116888,0,87
1233.540931,0,88
1232.735813,0,89
1232.646551,0,90
1233.143097,0,91
1234.052899,0,92
1234.959401,0,93
1236.067822,0,94
1237.307098,0,95
1238.293543,0,96
1238.623912,0,97
1238.606781,0,98
1238.76802,0,99
1238.96662,0,100
1239.226088,0,101
1239.428057,0,102
1239.441719,0,103
1239.388227,0,104
1239.362594,0,105
1239.36351,0,106
1239.449788,0,107
1239.450288,0,108
1239.221154,0,109
1238.80609,0,110
1238.202255,0,111
1237.598888,0,112
1237.137959,0,113
1236.798611,0,114
1236.543849,0,115
1236.313416,0,116
1236.057404,0,117
1235.803246,0,118
1235.59662,0,119
1235.522969,0,120
1235.653895,0,121
1235.890319,0,122
1236.113802,0,123
1236.258718,0,124
1236.279002,0,125
1236.197649,0,126
1236.057476,0,127
1235.781303,0,128
1235.328912,0,129
1234.869697,0,130
1234.593698,0,131
1234.501529,0,132
1234.579808,0,133
1234.651861,0,134
1234.581581,0,135
1234.34585,0,136
1233.97988,0,137
1233.639054,0,138
1233.46799,0,139
1233.426781,0,140
1233.438612,0,141
1233.451584,0,142
1233.394816,0,143
1233.255877,0,144
1233.006643,0,145
1232.537224,0,146
1231.789091,0,147
1230.836097,0,148
1229.881874,0,149
1229.236568,0,150
1229.275625,0,151
1229.641088,0,152
1230.02807,0,153
1230.414828,0,154
1230.850284,0,155
1231.442277,0,156
1232.264449,0,157
1233.07725,0,158
1233.633834,0,159
1234.022103,0,160
1234.34964,0,161
1234.658612,0,162
1234.946899,0,163
1235.119383,0,164
1235.065698,0,165
1234.965794,0,166
1234.964404,0,167
1235.109542,0,168
1235.381944,0,169
1235.643625,0,170
1235.770951,0,171
1235.740179,0,172
1235.597009,0,173
1235.486142,0,174
1235.529813,0,175
1235.722141,0,176
1236.002317,0,177
1236.314409,0,178
1236.609766,0,179
1236.858663,0,180
1237.044263,0,181
1237.159941,0,182
1237.20993,0,183
1237.195864,0,184
1237.124856,0,185
1236.995529,0,186
1236.788742,0,187
1236.439254,0,188
1235.839561,0,189
1234.85136,0,190
1233.429576,0,191
1231.841492,0,192
1230.418923,0,193
1229.352216,0,194
1228.681012,0,195
1228.182777,0,196
1247.719901,1,0
1247.477641,1,1
1247.203028,1,2
1246.779365,1,3
1246.446103,1,4
1246.421678,1,5
1246.54094,1,6
1246.727911,1,7
1246.832649,1,8
1246.719189,1,9
1246.524441,1,10
1246.361188,1,11
1246.199092,1,12
1246.001097,1,13
1245.80714,1,14
1245.658728,1,15
1245.534983,1,16
1245.436339,1,17
1245.346114,1,18
1245.22922,1,19
1245.214782,1,20
1245.437431,1,21
1245.771583,1,22
1246.119743,1,23
1246.414809,1,24
1246.623042,1,25
1246.664012,1,26
1246.54828,1,27
1246.278043,1,28
1245.92368,1,29
1245.416373,1,30
1244.645775,1,31
1243.858242,1,32
1243.286606,1,33
1242.932321,1,34
1242.890664,1,35
1242.983957,1,36
1243.059261,1,37
1243.107372,1,38
1243.070773,1,39
1243.014065,1,40
1242.973364,1,41
1242.911982,1,42
1242.760188,1,43
1242.591787,1,44
1242.455944,1,45
1242.355877,1,46
1242.339262,1,47
1242.402845,1,48
1242.56949,1,49
1242.86496,1,50
1243.286321,1,51
1243.705444,1,52
1243.961114,1,53
1244.011601,1,54
1243.760121,1,55
1243.338517,1,56
1242.820368,1,57
1242.27548,1,58
1241.753132,1,59
1241.304381,1,60
1240.969733,1,61
1240.746869,1,62
1240.614915,1,63
1240.529862,1,64
1240.419474,1,65
1240.24282,1,66
1239.951449,1,67
1239.576786,1,68
1239.165636,1,69
1238.764818,1,70
1238.439166,1,71
1238.206624,1,72
1238.094904,1,73
1238.100498,1,74
1238.218589,1,75
1238.406264,1,76
1238.623032,1,77
1238.80077,1,78
1238.889315,1,79
1238.906169,1,80
1238.878568,1,81
1238.761452,1,82
1238.503289,1,83
1238.060348,1,84
1237.374342,1,85
1236.291208,1,86
1234.690937,1,87
1233.166951,1,88
1232.322848,1,89
1232.139764,1,90
1232.557329,1,91
1233.375484,1,92
1234.384462,1,93
1235.646923,1,94
1237.165319,1,95
1238.405671,1,96
1238.863108,1,97
1238.89718,1,98
1238.94208,1,99
1239.026099,1,100
1239.165692,1,101
1239.287725,1,102
1239.320817,1,103
1239.319065,1,104
1239.336883,1,105
1239.386528,1,106
1239.472993,1,107
1239.478888,1,108
1239.288827,1,109
1238.912964,1,110
1238.386516,1,111
1237.831802,1,112
1237.423638,1,113
1237.103233,1,114
1236.855654,1,115
1236.630405,1,116
1236.36958,1,117
1236.122334,1,118
1235.911967,1,119
1235.82395,1,120
1235.970292,1,121
1236.222187,1,122
1236.465307,1,123
1236.64751,1,124
1236.693155,1,125
1236.622255,1,126
1236.509496,1,127
1236.263575,1,128
1235.813145,1,129
1235.364062,1,130
1235.134958,1,131
1235.04948,1,132
1235.139833,1,133
1235.185704,1,134
1235.044546,1,135
1234.744021,1,136
1234.306224,1,137
1233.906231,1,138
1233.726357,1,139
1233.690781,1,140
1233.732262,1,141
1233.830665,1,142
1233.900949,1,143
1233.932562,1,144
1233.899061,1,145
1233.648175,1,146
1233.089237,1,147
1232.301037,1,148
1231.438331,1,149
1230.731053,1,150
1230.726455,1,151
1230.925908,1,152
1231.06951,1,153
1231.236772,1,154
1231.459298,1,155
1231.831735,1,156
1232.501701,1,157
1233.165141,1,158
1233.508643,1,159
1233.70458,1,160
1233.859352,1,161
1233.992405,1,162
1234.133934,1,163
1234.203284,1,164
1234.033566,1,165
1233.903411,1,166
1233.962351,1,167
1234.209268,1,168
1234.620028,1,169
1235.012742,1,170
1235.226089,1,171
1235.278288,1,172
1235.184934,1,173
1235.157102,1,174
1235.371833,1,175
1235.74917,1,176
1236.181047,1,177
1236.609063,1,178
1236.97371,1,179
1237.24642,1,180
1237.411616,1,181
1237.464234,1,182
1237.42678,1,183
1237.307189,1,184
1237.13408,1,185
1236.918307,1,186
1236.668062,1,187
1236.330058,1,188
1235.822084,1,189
1234.951239,1,190
1233.510414,1,191
1231.92124,1,192
1230.615254,1,193
1229.762689,1,194
1229.540364,1,195
1229.598109,1,196
1247.131952,2,0
1246.849526,2,1
1246.553766,2,2
1246.244882,2,3
1246.056311,2,4
1246.10394,2,5
1246.291099,2,6
1246.47282,2,7
1246.56047,2,8
1246.481302,2,9
1246.337725,2,10
1246.237606,2,11
1246.152206,2,12
1246.040109,2,13
1245.911358,2,14
1245.80446,2,15
1245.690243,2,16
1245.568053,2,17
1245.447642,2,18
1245.352104,2,19
1245.374754,2,20
1245.590479,2,21
1245.939559,2,22
1246.337272,2,23
1246.690033,2,24
1246.897051,2,25
1246.922131,2,26
1246.695958,2,27
1246.326646,2,28
1245.867584,2,29
1245.303876,2,30
1244.596071,2,31
1243.89704,2,32
1243.347174,2,33
1243.000191,2,34
1242.886462,2,35
1242.895306,2,36
1242.911936,2,37
1242.896216,2,38
1242.839304,2,39
1242.766258,2,40
1242.713545,2,41
1242.66126,2,42
1242.577586,2,43
1242.496912,2,44
1242.441112,2,45
1242.400105,2,46
1242.361191,2,47
1242.371148,2,48
1242.493433,2,49
1242.738217,2,50
1243.135548,2,51
1243.517349,2,52
1243.738062,2,53
1243.74432,2,54
1243.490152,2,55
1243.068025,2,56
1242.535468,2,57
1241.971563,2,58
1241.414862,2,59
1240.928548,2,60
1240.572473,2,61
1240.337587,2,62
1240.205856,2,63
1240.136812,2,64
1240.030566,2,65
1239.868154,2,66
1239.560415,2,67
1239.173296,2,68
1238.758549,2,69
1238.349912,2,70
1238.036886,2,71
1237.809106,2,72
1237.714499,2,73
1237.735571,2,74
1237.885652,2,75
1238.098135,2,76
1238.34335,2,77
1238.531064,2,78
1238.585908,2,79
1238.561883,2,80
1238.531171,2,81
1238.416614,2,82
1238.153504,2,83
1237.698344,2,84
1237.027395,2,85
1235.976701,2,86
1234.380242,2,87
